DATE,LV_EVAP,LV_RAIN
1/01/1900,4.463,0
2/01/1900,4.463,0
3/01/1900,4.463,0
4/01/1900,4.463,0
5/01/1900,4.463,0
6/01/1900,4.463,0
7/01/1900,4.463,0
8/01/1900,4.463,0
9/01/1900,4.463,0
10/01/1900,4.463,0
11/01/1900,4.463,0
12/01/1900,4.463,0
13/01/1900,4.463,0
14/01/1900,4.463,0
15/01/1900,4.463,0
16/01/1900,4.463,0
17/01/1900,4.463,0
18/01/1900,4.463,0
19/01/1900,4.463,0
20/01/1900,4.463,0
21/01/1900,4.463,0
22/01/1900,4.463,0
23/01/1900,4.463,0
24/01/1900,4.463,0
25/01/1900,4.463,0
26/01/1900,4.463,0
27/01/1900,4.463,0
28/01/1900,4.463,0
29/01/1900,4.463,0
30/01/1900,4.463,0
31/01/1900,4.463,0
1/02/1900,6.107999802,0
2/02/1900,6.107999802,0
3/02/1900,6.107999802,0
4/02/1900,6.107999802,0
5/02/1900,6.107999802,0
6/02/1900,6.107999802,0
7/02/1900,6.107999802,0
8/02/1900,6.107999802,0
9/02/1900,6.107999802,0
10/02/1900,6.107999802,0
11/02/1900,6.107999802,0
12/02/1900,6.107999802,0
13/02/1900,6.107999802,0
14/02/1900,6.107999802,0
15/02/1900,6.107999802,0
16/02/1900,6.107999802,0
17/02/1900,6.107999802,0
18/02/1900,6.107999802,0
19/02/1900,6.107999802,0
20/02/1900,6.107999802,0
21/02/1900,6.107999802,0
22/02/1900,6.107999802,0
23/02/1900,6.107999802,0
24/02/1900,6.107999802,0
25/02/1900,6.107999802,0
26/02/1900,6.107999802,0
27/02/1900,6.107999802,0
28/02/1900,6.107999802,0
1/03/1900,1.179000139,0
2/03/1900,1.179000139,0
3/03/1900,1.179000139,0
4/03/1900,1.179000139,0
5/03/1900,1.179000139,0
6/03/1900,1.179000139,0
7/03/1900,1.179000139,0
8/03/1900,1.179000139,0
9/03/1900,1.179000139,0
10/03/1900,1.179000139,0
11/03/1900,1.179000139,0
12/03/1900,1.179000139,0
13/03/1900,1.179000139,0
14/03/1900,1.179000139,0
15/03/1900,1.179000139,0
16/03/1900,1.179000139,0
17/03/1900,1.179000139,0
18/03/1900,1.179000139,0
19/03/1900,1.179000139,0
20/03/1900,1.179000139,0
21/03/1900,1.179000139,0
22/03/1900,1.179000139,0
