date,Pike level,Mundic Level,Total inflow,Volume Mundic,Volume Pike,Total Volume,Area Mundic,Area Pike,Total Area,Pike Outflow,Lower Pike (Lettons) flow,Net outflow to river from Lower Pike
1/07/2000,14.55,15.2132,1660.90176,4820.516078,3478.409085,8298.925163,319.3261243,331.4045714,650.7306958,1198.68768,925.37856,1590.65856
2/07/2000,14.55,15.2132,1660.90176,4820.516078,3478.409085,8298.925163,319.3261243,331.4045714,650.7306958,1198.68768,925.37856,1590.65856
3/07/2000,14.55,15.2132,1660.90176,4820.516078,3478.409085,8298.925163,319.3261243,331.4045714,650.7306958,1198.68768,925.37856,1590.65856
4/07/2000,14.55,15.2132,1660.90176,4820.516078,3478.409085,8298.925163,319.3261243,331.4045714,650.7306958,1198.68768,925.37856,1590.65856
5/07/2000,14.55,15.2132,1660.90176,4820.516078,3478.409085,8298.925163,319.3261243,331.4045714,650.7306958,1198.68768,925.37856,1590.65856
6/07/2000,14.55,15.2132,1660.90176,4820.516078,3478.409085,8298.925163,319.3261243,331.4045714,650.7306958,1198.68768,925.37856,1590.65856
7/07/2000,14.55,15.2132,1660.90176,4820.516078,3478.409085,8298.925163,319.3261243,331.4045714,650.7306958,1198.68768,925.37856,1590.65856
8/07/2000,14.6,15.2222,1660.59072,4847.638509,3580.674503,8428.313013,320.8042333,337.3590016,658.1632349,1196.58816,924.79104,1589.76864
9/07/2000,14.6,15.2222,1660.59072,4847.638509,3580.674503,8428.313013,320.8042333,337.3590016,658.1632349,1196.58816,924.79104,1589.76864
10/07/2000,14.6,15.2222,1660.59072,4847.638509,3580.674503,8428.313013,320.8042333,337.3590016,658.1632349,1196.58816,924.79104,1589.76864
11/07/2000,14.6,15.2222,1660.59072,4847.638509,3580.674503,8428.313013,320.8042333,337.3590016,658.1632349,1196.58816,924.79104,1589.76864
12/07/2000,14.6,15.2222,1660.59072,4847.638509,3580.674503,8428.313013,320.8042333,337.3590016,658.1632349,1196.58816,924.79104,1589.76864
13/07/2000,14.6,15.2222,1660.59072,4847.638509,3580.674503,8428.313013,320.8042333,337.3590016,658.1632349,1196.58816,924.79104,1589.76864
14/07/2000,14.6,15.2222,1660.59072,4847.638509,3580.674503,8428.313013,320.8042333,337.3590016,658.1632349,1196.58816,924.79104,1589.76864
15/07/2000,14.7,15.2422,1659.744,4914.378712,3814.24662,8728.625332,325.7587441,355.9965898,681.7553339,1194.28992,923.06304,1586.36448
16/07/2000,14.7,15.2422,1659.744,4914.378712,3814.24662,8728.625332,325.7587441,355.9965898,681.7553339,1194.28992,923.06304,1586.36448
17/07/2000,14.7,15.2422,1659.744,4914.378712,3814.24662,8728.625332,325.7587441,355.9965898,681.7553339,1194.28992,923.06304,1586.36448
18/07/2000,14.7,15.2422,1659.744,4914.378712,3814.24662,8728.625332,325.7587441,355.9965898,681.7553339,1194.28992,923.06304,1586.36448
19/07/2000,14.7,15.2422,1659.744,4914.378712,3814.24662,8728.625332,325.7587441,355.9965898,681.7553339,1194.28992,923.06304,1586.36448
20/07/2000,14.7,15.2422,1659.744,4914.378712,3814.24662,8728.625332,325.7587441,355.9965898,681.7553339,1194.28992,923.06304,1586.36448
21/07/2000,14.7,15.2422,1659.744,4914.378712,3814.24662,8728.625332,325.7587441,355.9965898,681.7553339,1194.28992,923.06304,1586.36448
22/07/2000,14.8,15.2676,1658.93184,4998.932386,4101.288928,9100.221314,332.2952045,381.7724436,714.0676481,1189.99584,920.98944,1582.44192
23/07/2000,14.8,15.2676,1658.93184,4998.932386,4101.288928,9100.221314,332.2952045,381.7724436,714.0676481,1189.99584,920.98944,1582.44192
24/07/2000,14.8,15.2676,1658.93184,4998.932386,4101.288928,9100.221314,332.2952045,381.7724436,714.0676481,1189.99584,920.98944,1582.44192
25/07/2000,14.8,15.2676,1658.93184,4998.932386,4101.288928,9100.221314,332.2952045,381.7724436,714.0676481,1189.99584,920.98944,1582.44192
26/07/2000,14.8,15.2676,1658.93184,4998.932386,4101.288928,9100.221314,332.2952045,381.7724436,714.0676481,1189.99584,920.98944,1582.44192
27/07/2000,14.8,15.2676,1658.93184,4998.932386,4101.288928,9100.221314,332.2952045,381.7724436,714.0676481,1189.99584,920.98944,1582.44192
28/07/2000,14.8,15.2676,1658.93184,4998.932386,4101.288928,9100.221314,332.2952045,381.7724436,714.0676481,1189.99584,920.98944,1582.44192
29/07/2000,14.9,15.2993,1657.16064,5108.731027,4393.488947,9502.219973,339.758812,399.2077145,738.9665265,1185.56352,919.14048,1578.46752
30/07/2000,14.9,15.2993,1657.16064,5108.731027,4393.488947,9502.219973,339.758812,399.2077145,738.9665265,1185.56352,919.14048,1578.46752
31/07/2000,14.9,15.2993,1657.16064,5108.731027,4393.488947,9502.219973,339.758812,399.2077145,738.9665265,1185.56352,919.14048,1578.46752
1/08/2000,14.9,15.2993,1657.16064,5108.731027,4393.488947,9502.219973,339.758812,399.2077145,738.9665265,1185.56352,919.14048,1578.46752
2/08/2000,14.9,15.2993,1657.16064,5108.731027,4393.488947,9502.219973,339.758812,399.2077145,738.9665265,1185.56352,919.14048,1578.46752
3/08/2000,14.9,15.2993,1657.16064,5108.731027,4393.488947,9502.219973,339.758812,399.2077145,738.9665265,1185.56352,919.14048,1578.46752
4/08/2000,14.9,15.2993,1657.16064,5108.731027,4393.488947,9502.219973,339.758812,399.2077145,738.9665265,1185.56352,919.14048,1578.46752
5/08/2000,15,15.3385,1654.48224,5408.485761,4742.263115,10150.74888,368.2667734,425.6534836,793.920257,1177.39872,915.26112,1570.52736
6/08/2000,15,15.3385,1654.48224,5408.485761,4742.263115,10150.74888,368.2667734,425.6534836,793.920257,1177.39872,915.26112,1570.52736
7/08/2000,15,15.3385,1654.48224,5408.485761,4742.263115,10150.74888,368.2667734,425.6534836,793.920257,1177.39872,915.26112,1570.52736
